table,outcome,column,estimate,se,pvalue,n
table08,tv_paper,beta_plus_delta,44.37268801006064,18.409622,.015939465,143474
table08,socializing_paper,beta,-2.967475257454181,10.273993,.77270865,143474
table08,socializing_paper,delta,19.57128180954183,11.608882,.09181726,143474
table08,socializing_paper,beta_plus_delta,16.60380655208765,6.2027941,.0074322983,143474
table08,sleeping_paper,beta,37.63899038382089,9.0599613,.000032609692,143474
table08,sleeping_paper,delta,4.579451915187922,11.406671,.6880731,143474
table08,sleeping_paper,beta_plus_delta,42.21844229900881,7.4876804,1.7164995e-08,143474
table08,ep_paper,beta,-3.595260305683976,3.6251099,.32131174,143474
table08,ep_paper,delta,-19.66562933060533,8.132494,.015599439,143474
table08,ep_paper,beta_plus_delta,-23.2608896362893,7.5052066,.0019397823,143474
table08,otherleisure_paper,beta,-3.559958972246212,18.241941,.84527361,143474
table08,otherleisure_paper,delta,49.16188811979151,31.238834,.11554693,143474
table08,otherleisure_paper,beta_plus_delta,45.60192914754529,26.287336,.082785286,143474
table08,other_paper,beta,28.99560555028674,21.726006,.18200612,143474
table08,other_paper,delta,-82.72758941447997,36.345993,.022839243,143474
table08,other_paper,beta_plus_delta,-53.73198386419323,30.248163,.07567165,143474
table08,education_paper,beta,6.158136909868254,15.075315,.68291295,143474
table08,education_paper,delta,-26.89601750537328,28.999727,.35368901,143474
table08,education_paper,beta_plus_delta,-20.73788059550502,25.566744,.41729265,143474
table08,civic_paper,beta,.9883938171688044,5.0677977,.84536618,143474
table08,civic_paper,delta,-21.58468087889212,7.17134,.0026137391,143474
table08,civic_paper,beta_plus_delta,-20.59628706172331,5.3723507,.00012620084,143474
table08,ownmedical_paper,beta,1.790467012005282,2.4288166,.4610149,143474
table08,ownmedical_paper,delta,-7.979496093851211,4.0458832,.048580978,143474
table08,ownmedical_paper,beta_plus_delta,-6.18902908184593,3.3594978,.065438837,143474
table09,worka_paper,all,.1870969815309866,1.015263,.85379046,38033
table09,worku_paper,all,-1.767974125096312,1.4026674,.20751172,38033
table09,childcare_paper,all,-5.4964029983697,3.5312119,.11958443,38033
table09,home_paper,all,34.25866611565351,11.249554,.0023242084,38033
table09,homeproduction_paper,all,21.26036046496683,5.1014719,.000030796458,38033
table09,homeown_paper,all,31.86401326737582,10.564837,.002560959,38033
table09,shopping_paper,all,-17.30474537110612,6.2658634,.0057492577,38033
table09,othercare_paper,all,-1.560962459429102,2.8113887,.57873857,38033
table09,leisure_paper,all,127.5464468597467,24.300209,1.5310987e-07,38033
table09,tv_paper,all,43.20984393512304,18.892738,.022189178,38033
table09,socializing_paper,all,15.75185847634702,6.6902637,.018550385,38033
table09,sleeping_paper,all,42.97581901474943,5.9566808,5.4042746e-13,38033
table09,ep_paper,all,-23.04590746553058,7.4129992,.0018781666,38033
table09,otherleisure_paper,all,48.65483283152408,26.302124,.064335994,38033
table09,other_paper,all,-54.72783287638724,26.37314,.037973996,38033
