"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"1.female#1.hv_child","0.46212","0.21265","9.45914**","-5.80432","-1.00676","-6.26081","1.30848","0.15476","-10.34661","-1.23449","-5.13029*","-0.43891","1.39326","-4.93617","6.01703","2.28154","3.24462","0.99988"
"","0.49214","0.47297","2.91941","3.02452","2.47010","3.84961","3.13966","0.89986","5.58506","4.85624","2.19188","3.25734","2.02543","4.10024","5.08421","2.11387","2.77229","0.78324"
"0.female#c.num_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#c.num_child","-0.10435","-0.00391","0.95941**","1.21753","0.91268","-0.79882***","0.99571**","0.10797","-2.20224","-0.08649","0.48528","-1.59627***","0.15777","-1.16254","0.13356","-0.64018","0.44095","0.12250"
"","0.15136","0.05145","0.32575","0.69809","0.47111","0.21227","0.34621","0.16149","1.61039","0.87792","0.39956","0.48135","0.46294","1.02423","1.13448","0.96183","0.29321","0.18384"
"0.female#c.age_youngest","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#c.age_youngest","-0.01013","-0.02013","-0.70629***","0.35865***","0.08432","0.11045","0.14407**","0.01982","0.63777*","0.31275","0.15212*","0.02030","-0.03579","0.18839","-0.25987","-0.22731","-0.00600","-0.00416"
"","0.03638","0.02306","0.08663","0.10476","0.04957","0.07189","0.05105","0.03440","0.24976","0.18923","0.07710","0.09152","0.09066","0.10519","0.21839","0.15589","0.04981","0.05414"
"_cons","-0.16097","0.03429","-3.90781","10.18110","-2.84111","15.70141*","-1.32503","-1.35417","133.64913***","9.21149","16.66392***","68.70444***","16.41577***","22.65352*","28.20427*","31.14563***","-4.87266","-2.23773"
"","0.62696","0.99247","4.41049","6.13046","6.40820","7.02583","5.66841","1.62081","12.86667","8.47532","4.06401","6.83543","3.02031","9.13315","14.08836","7.45004","5.37142","1.61144"
"N","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033","38033"
