TUCASEID,TULINENO,TURRP,TESEX,TERRP,TEAGE,TXSEX,TXRRP,TXAGE
20040101042136,2,20,2,20,51,0,0,0
20040101042142,1,19,2,19,72,0,0,0
20040101042147,1,18,2,18,76,0,0,0
20040101042147,2,22,2,22,45,0,0,0
20040101042147,3,23,1,23,25,0,0,0
20040101042147,4,23,1,23,23,0,0,0
20040101042147,5,23,1,23,21,0,0,0
20040101042150,1,18,1,18,26,0,0,0
20040101042150,2,20,2,20,24,0,0,0
20040101042150,3,22,2,22,4,0,0,0
20040101042162,1,18,2,18,36,0,0,0
20040101042162,2,22,2,22,13,0,0,0
20040101042162,3,22,2,22,6,0,0,0
20040101042169,1,19,1,19,34,0,0,0
20040101042169,2,21,2,21,30,0,0,0
20040101042169,3,22,2,22,5,0,0,0
20040101042194,1,18,2,18,39,0,0,0
20040101042194,2,22,1,22,12,0,0,0
20040101042194,3,22,1,22,11,0,0,0
20040101042212,1,18,1,18,65,0,0,0
20040101042212,2,20,2,20,68,0,0,0
20040101042237,1,18,2,18,33,0,0,0
20040101042237,2,20,1,20,29,0,0,0
20040101042237,3,22,2,22,5,0,0,0
20040101042237,4,22,1,22,12,0,0,0
20040101042256,1,18,2,18,17,0,0,0
20040101042256,2,24,1,24,43,0,0,0
20040101042256,3,24,2,24,37,0,0,0
20040101042256,4,25,2,25,13,0,0,0
20040101042256,5,25,2,25,8,0,0,0
20040101042269,1,18,1,18,16,0,0,0
20040101042269,2,24,1,24,43,0,0,0
20040101042269,3,25,2,25,13,0,0,0
20040101042280,1,19,1,19,21,0,0,0
20040101042281,1,19,2,19,67,0,0,0
20040101042344,1,19,1,19,28,0,0,0
20040101042347,1,18,1,18,17,0,0,0
20040101042347,2,24,1,24,41,0,0,0
20040101042347,3,24,2,24,37,0,0,0
20040101042347,4,25,1,25,9,0,0,0
20040101042349,1,18,2,18,52,0,0,0
20040101042349,2,20,1,20,52,0,0,0
20040101042349,3,22,2,22,23,0,0,0
20040101042356,1,18,2,18,65,0,0,0
20040101042375,1,18,2,18,80,0,0,60
20040101042375,2,22,2,22,71,0,0,0
20040101042379,1,18,2,18,31,0,0,0
20040101042379,2,20,1,20,33,0,0,0
20040101042379,3,22,2,22,0,0,0,0
20040101042383,1,18,2,18,40,0,0,0
20040101042383,2,20,1,20,37,0,0,0
20040101042383,3,22,2,22,7,0,0,0
20040101042383,4,22,2,22,4,0,0,0
20040101042386,1,18,1,18,73,0,0,0
20040101042386,2,20,2,20,70,0,0,0
20040101042398,1,18,1,18,52,0,0,0
20040101042398,2,20,2,20,52,0,0,0
20040101042403,1,19,2,19,68,0,0,0
20040101042423,1,19,2,19,80,0,0,60
20040101042428,1,18,1,18,38,0,0,0
20040101042428,2,20,2,20,25,0,0,0
20040101042431,1,18,2,18,15,0,0,0
20040101042431,2,24,1,24,49,0,0,0
20040101042431,3,24,2,24,41,0,0,0
20040101042431,4,25,1,25,18,0,0,0
20040101042461,1,19,2,19,55,0,0,0
20040101042477,1,18,1,18,37,0,0,0
20040101042477,2,20,2,20,34,0,0,0
20040101042477,3,22,1,22,11,0,0,0
20040101042477,4,22,1,22,9,0,0,0
20040101042480,1,18,2,18,69,0,0,0
20040101042480,2,24,1,24,80,0,0,60
20040101042490,1,19,1,19,80,0,0,60
20040101042494,1,18,2,18,46,0,0,0
20040101042494,2,20,1,20,44,0,0,0
20040101042494,3,22,2,22,20,0,0,0
20040101042494,4,22,2,22,12,0,0,0
20040101042497,1,18,1,18,54,0,0,0
20040101042497,2,20,2,20,48,0,0,0
20040101042497,3,22,1,22,13,0,0,0
20040101042503,1,18,2,18,33,0,0,0
20040101042503,2,22,1,22,12,0,0,0
20040101042503,3,22,1,22,7,0,0,0
20040101042518,1,19,1,19,33,0,0,0
20040101042518,2,28,1,28,31,0,0,0
20040101042519,1,19,1,19,48,0,0,0
20040101042521,1,18,2,18,41,0,0,0
20040101042521,2,20,1,20,46,0,0,0
20040101042521,3,22,2,22,15,0,0,0
20040101042521,4,22,1,22,5,0,0,0
20040101042528,1,19,2,19,63,0,0,0
20040101042541,1,18,2,18,37,0,0,0
20040101042541,2,22,2,22,15,0,0,0
20040101042541,3,22,1,22,12,0,0,0
20040110030590,1,18,2,18,56,0,0,0
20040110030590,2,21,2,21,56,0,0,0
20040110030852,1,18,2,18,34,0,0,0
20040110030852,2,20,1,20,36,0,0,0
20040110030852,3,25,1,25,31,0,0,0
20040110030936,1,19,2,19,74,0,0,0
20040110031214,1,18,2,18,41,0,0,0
20040110031214,2,20,1,20,42,0,0,0
20040110031214,3,22,1,22,20,0,0,0
20040110031214,4,22,2,22,16,0,0,0
20040110031223,1,18,2,18,17,0,0,0
20040110031223,2,24,2,24,38,0,0,0
20040110031223,3,25,2,25,17,0,0,0
20040110031223,4,25,2,25,15,0,0,0
20040110031223,5,25,1,25,9,0,0,0
20040110031322,1,19,2,19,24,0,0,0
20040110031427,1,18,2,18,22,0,0,0
20040110031427,2,20,1,20,23,0,0,0
20040110031427,4,22,1,22,3,0,0,0
20040110031427,5,22,1,22,1,0,0,0
20040110031688,1,19,2,19,56,0,0,0
20040110031723,1,18,2,18,27,0,0,0
20040110031723,2,22,2,22,3,0,0,0
20040110031800,1,18,1,18,67,0,0,0
20040110031800,2,20,2,20,50,0,0,0
20040110031973,1,19,2,19,51,0,0,0
20040110032074,1,18,2,18,50,0,0,0
20040110032074,2,21,1,21,55,0,0,0
20040110032080,1,18,2,18,24,0,0,0
20040110032080,2,22,2,22,0,0,0,0
20040110032180,1,18,1,18,66,0,0,0
20040110032180,2,20,2,20,68,0,0,0
20040110032384,1,19,1,19,49,0,0,0
20040110032643,1,18,1,18,45,0,0,0
20040110032643,2,20,2,20,44,0,0,0
20040110032643,3,22,2,22,7,0,0,0
20040110032643,4,22,2,22,4,0,0,0
20040110032788,1,18,2,18,45,0,0,0
20040110032788,2,20,1,20,61,0,0,0
20040110032788,3,22,2,22,9,0,0,0
20040110032967,1,18,1,18,33,0,0,0
20040110032967,2,24,1,24,70,0,0,0
20040110032967,3,24,2,24,57,0,0,0
20040110033033,1,18,2,18,69,0,0,0
20040110033033,2,20,1,20,73,0,0,0
20040110033086,1,18,2,18,44,0,0,0
20040110033086,2,20,1,20,42,0,0,0
20040110033086,4,22,2,22,4,0,0,0
20040110033112,1,18,2,18,26,0,0,0
20040110033112,2,21,1,21,30,0,0,0
20040110033112,3,22,1,22,6,0,0,0
20040110033289,1,18,1,18,42,0,0,0
20040110033289,2,20,2,20,36,0,0,0
20040110033289,3,22,1,22,17,0,0,0
20040110033289,4,22,1,22,0,0,0,0
20040110033493,1,19,2,19,51,0,0,0
20040110033562,1,18,1,18,46,0,0,0
20040110033562,2,20,2,20,36,0,0,0
20040110033562,3,22,2,22,17,0,0,0
20040110033562,4,22,1,22,13,0,0,0
20040110033562,5,22,2,22,10,0,0,0
20040111030084,1,19,1,19,58,0,0,0
20040111030084,3,22,2,22,6,0,0,0
20040111030160,1,18,2,18,27,0,0,0
20040111030160,2,22,2,22,9,0,0,0
20040111030160,3,22,2,22,11,0,0,0
20040111030160,4,22,2,22,5,0,0,0
20040111030160,5,22,2,22,4,0,0,0
20040111030169,1,18,1,18,77,0,0,0
20040111030169,2,20,2,20,76,0,0,0
20040111030506,1,18,1,18,30,0,0,0
20040111030506,2,20,2,20,33,0,0,0
20040111030506,3,22,1,22,10,0,0,0
20040111030506,4,22,1,22,5,0,0,0
20040111030510,1,18,1,18,55,0,0,0
20040111030510,2,22,2,22,14,0,0,0
20040111030510,3,22,1,22,13,0,0,0
20040111030511,1,18,2,18,52,0,0,0
20040111030511,2,22,2,22,19,0,0,0
20040111030514,1,18,1,18,35,0,0,0
20040111030514,2,20,2,20,34,0,0,0
20040111030514,3,22,2,22,7,0,0,0
20040111030514,4,22,2,22,3,0,0,0
20040111030515,1,18,1,18,51,0,0,0
20040111030515,2,20,2,20,49,0,0,0
20040111030520,1,18,2,18,31,0,0,0
20040111030520,2,22,2,22,12,0,0,0
20040111030528,1,18,1,18,34,0,0,0
20040111030528,2,20,2,20,33,0,0,0
20040111030528,3,22,2,22,5,0,0,0
20040111030530,1,19,2,19,44,0,0,0
20040111030540,1,18,1,18,44,0,0,0
20040111030540,2,20,2,20,43,0,0,0
20040111030549,1,18,2,18,45,0,0,0
20040111030549,2,22,1,22,12,0,0,0
20040111030549,3,22,1,22,9,0,0,0
20040111030570,1,19,1,19,31,0,0,0
20040111030576,1,18,2,18,80,0,0,60
20040111030576,2,20,1,20,80,0,0,60
20040111030576,3,22,1,22,57,0,0,0
20040111030584,1,19,2,19,77,0,0,0
20040111030588,1,18,2,18,61,0,0,0
20040111030588,2,22,2,22,32,0,0,0
20040111030617,1,18,1,18,23,0,0,0
20040111030617,2,20,2,20,21,0,0,0
20040111030617,3,22,2,22,1,0,0,0
20040111030617,4,25,1,25,25,0,0,0
20040111030621,1,18,2,18,26,0,0,0
20040111030621,2,20,1,20,28,0,0,0
20040111030621,3,22,1,22,2,0,0,0
20040111030626,1,18,2,18,53,0,0,0
20040111030626,2,20,1,20,53,0,0,0
20040111030626,3,23,1,23,12,0,0,0
20040111030635,1,19,1,19,61,0,0,0
20040111030636,1,18,1,18,57,0,0,0
20040111030636,2,20,2,20,55,0,0,0
20040111030658,1,18,1,18,48,0,0,0
20040111030658,2,20,2,20,47,0,0,0
20040111030658,3,22,1,22,14,0,0,0
20040111030658,4,22,2,22,11,0,0,0
20040111030667,1,18,1,18,37,0,0,0
20040111030667,2,20,2,20,31,0,0,0
20040111030667,3,22,1,22,3,0,0,0
20040111030667,4,22,1,22,0,0,0,0
20040111030669,1,18,2,18,45,0,0,0
20040111030669,2,20,1,20,43,0,0,0
