DATE,LFWA64TTUSM647S
1995-06-01,167071155.120073
1995-07-01,167207712.149303
1995-08-01,167345576.711106
1995-09-01,167475927.617406
1995-10-01,167624556.34455198
1995-11-01,167794165.44189
1995-12-01,167978692.418263
1996-01-01,167968284.814379
1996-02-01,168103743.918378
1996-03-01,168298053.49566603
1996-04-01,168518402.375267
1996-05-01,168629037.130818
1996-06-01,168763168.57985702
1996-07-01,168833360.384899
1996-08-01,169003438.497922
1996-09-01,169247270.375032
1996-10-01,169375592.119658
1996-11-01,169648090.579929
1996-12-01,169843238.69465998
1997-01-01,170325332.684726
1997-02-01,170454768.18227
1997-03-01,170634822.773289
1997-04-01,170754813.63110802
1997-05-01,170872721.434931
1997-06-01,171074863.37502602
1997-07-01,171192541.534938
1997-08-01,171332754.286231
1997-09-01,171520578.280239
1997-10-01,171676415.55415002
1997-11-01,171823844.75518999
1997-12-01,172027966.662904
1998-01-01,172109473.172088
1998-02-01,172291894.26602
1998-03-01,172398463.651951
1998-04-01,172493344.198264
1998-05-01,172710733.74574098
1998-06-01,172920157.17371398
1998-07-01,173106652.543195
1998-08-01,173284825.86223
1998-09-01,173438798.65805602
1998-10-01,173557205.562523
1998-11-01,173714465.588685
1998-12-01,173885422.766112
1999-01-01,174348190.540065
1999-02-01,174539668.473084
1999-03-01,174655309.4066
1999-04-01,174805628.31520498
1999-05-01,175017105.972621
1999-06-01,175260008.441237
1999-07-01,175436488.336777
1999-08-01,175602512.20831302
1999-09-01,175726110.618794
1999-10-01,175961767.335589
1999-11-01,176045812.758785
1999-12-01,176184316.641231
2000-01-01,178204442.991884
2000-02-01,178267474.027074
2000-03-01,178377326.744636
2000-04-01,178520560.831654
2000-05-01,178786775.227353
2000-06-01,179049719.767103
2000-07-01,179397188.989746
2000-08-01,179428822.044293
2000-09-01,179633387.38192803
2000-10-01,179802388.95341
2000-11-01,179917223.532179
2000-12-01,180063311.387069
2001-01-01,180328698.44130298
2001-02-01,180496952.611949
2001-03-01,180595263.90471497
2001-04-01,180855853.622076
2001-05-01,180997552.373747
2001-06-01,181378145.238953
2001-07-01,181578473.258179
2001-08-01,181878499.55328602
2001-09-01,181975775.61268002
2001-10-01,182269235.340485
2001-11-01,182527165.793235
2001-12-01,182735695.243485
2002-01-01,182699711.581763
2002-02-01,182842153.90145302
2002-03-01,183100305.718618
2002-04-01,183331840.11156198
2002-05-01,183460227.208406
2002-06-01,183690713.618912
2002-07-01,183838376.44652098
2002-08-01,184113860.981329
2002-09-01,184239673.045759
2002-10-01,184452501.11270398
2002-11-01,184790805.882554
2002-12-01,184905094.173778
2003-01-01,185679411.950198
2003-02-01,185834764.99092
2003-03-01,186146115.063145
2003-04-01,186472862.56298
2003-05-01,186725963.209572
2003-06-01,186912663.471778
2003-07-01,187185552.18527502
2003-08-01,187400202.958544
2003-09-01,187570603.15991002
2003-10-01,187711904.577865
2003-11-01,187901063.462644
2003-12-01,188015767.547498
2004-01-01,187561926.69871798
2004-02-01,187828172.64712298
2004-03-01,188113416.576599
2004-04-01,188345268.487665
2004-05-01,188553145.62951598
2004-06-01,188688835.75348398
2004-07-01,188793130.492701
2004-08-01,189022342.0445
2004-09-01,189267016.432944
2004-10-01,189482258.682002
2004-11-01,189657430.43725398
2004-12-01,189863079.698227
2005-01-01,190044356.23558402
2005-02-01,190226132.136136
2005-03-01,190431186.58357
2005-04-01,190502183.380678
2005-05-01,190680920.797756
2005-06-01,190879604.330792
2005-07-01,191059880.941787
2005-08-01,191171880.94299102
2005-09-01,191487499.77664202
2005-10-01,191704737.981281
2005-11-01,192007204.110264
2005-12-01,192197482.94296902
2006-01-01,192322342.624837
2006-02-01,192519721.595218
2006-03-01,192603934.37862203
2006-04-01,192795013.23268002
2006-05-01,192949170.244742
2006-06-01,193192106.498164
2006-07-01,193430357.585076
2006-08-01,193521223.519728
2006-09-01,193600111.204981
2006-10-01,193705791.609111
2006-11-01,193908136.06331098
2006-12-01,194090704.001921
2007-01-01,194806724.38387
2007-02-01,195041143.278635
2007-03-01,195142854.164549
2007-04-01,195256293.931324
2007-05-01,195406231.468923
2007-06-01,195677649.665636
2007-07-01,195847314.787619
2007-08-01,195980520.70242
2007-09-01,196065491.53537
2007-10-01,196117978.801229
2007-11-01,196159865.82447502
2007-12-01,196413266.985002
2008-01-01,196034721.738694
2008-02-01,196227722.829909
2008-03-01,196359347.875155
2008-04-01,196211107.565788
2008-05-01,196431847.43144402
2008-06-01,196493190.000548
2008-07-01,196534702.954467
2008-08-01,196648098.550731
2008-09-01,196797462.73569
2008-10-01,196924086.28040102
2008-11-01,197121466.560238
2008-12-01,197394110.399522
2009-01-01,197100083.068875
2009-02-01,197315815.842769
2009-03-01,197594790.66485
2009-04-01,197883907.70611
2009-05-01,198006216.34268802
2009-06-01,197625888.000758
2009-07-01,197717682.659175
2009-08-01,198066725.032341
2009-09-01,198389554.010461
2009-10-01,198694584.76586097
2009-11-01,198757529.39372697
2009-12-01,198807314.31379998
2010-01-01,198303334.85530502
2010-02-01,198466157.01697
2010-03-01,198670748.577218
2010-04-01,198999209.082605
2010-05-01,199085239.69724
2010-06-01,198906490.150643
2010-07-01,198984579.41409
2010-08-01,199196707.09542602
2010-09-01,199517870.403865
2010-10-01,199852652.821039
2010-11-01,199991297.82328802
2010-12-01,200007360.719571
2011-01-01,199171263.89305
2011-02-01,199374001.63055798
2011-03-01,199560842.610306
2011-04-01,199948114.48454797
2011-05-01,200065303.252785
2011-06-01,200000753.735182
2011-07-01,200109550.780641
2011-08-01,200133766.43010402
2011-09-01,200251973.532174
2011-10-01,200414181.930961
2011-11-01,200306529.63953102
2011-12-01,200301538.03993
2012-01-01,200976062.258004
2012-02-01,201118706.725236
2012-03-01,201276942.05624798
2012-04-01,201507721.69790998
2012-05-01,201538103.06465098
2012-06-01,201472364.083722
2012-07-01,201473933.64394298
2012-08-01,201554324.12984902
2012-09-01,201604366.664319
2012-10-01,201652280.28282598
2012-11-01,201698916.493886
2012-12-01,201809359.575369
2013-01-01,201747915.749277
2013-02-01,201917084.940935
2013-03-01,202048752.004348
2013-04-01,202165496.128047
2013-05-01,202308952.49950802
2013-06-01,202297001.651303
2013-07-01,202288392.582959
2013-08-01,202486738.83644
2013-09-01,202618546.582087
2013-10-01,202717834.408051
2013-11-01,202711955.96984202
2013-12-01,202762472.525343
2014-01-01,202562990.98355502
2014-02-01,202748262.24598998
2014-03-01,202739431.08576998
2014-04-01,202825740.497466
2014-05-01,202942091.280459
2014-06-01,203053714.518556
2014-07-01,203009146.79278898
2014-08-01,203116746.731233
2014-09-01,203186814.12706098
2014-10-01,203236196.359183
2014-11-01,203367979.77407202
2014-12-01,203374526.67283598
2015-01-01,203904649.601551
2015-02-01,203979465.497963
2015-03-01,204000738.456303
2015-04-01,203982592.577172
2015-05-01,204244657.346398
2015-06-01,204413834.236456
2015-07-01,204491331.608116
2015-08-01,204538467.47291398
2015-09-01,204610966.13300198
2015-10-01,204675542.715885
2015-11-01,204729339.333093
2015-12-01,204719216.084521
2016-01-01,205127170.07988
2016-02-01,205153344.779618
2016-03-01,205224826.355292
2016-04-01,205248079.56803402
2016-05-01,205445451.31935602
2016-06-01,205554514.32929298
2016-07-01,205677092.665757
2016-08-01,205621660.07270998
2016-09-01,205702924.17581
2016-10-01,205814626.490076
2016-11-01,205789976.198125
2016-12-01,205896630.383949
2017-01-01,205454846.197455
2017-02-01,205500625.732884
2017-03-01,205386930.279198
2017-04-01,205376335.59386
2017-05-01,205527120.752554
2017-06-01,205656679.415712
2017-07-01,205727915.813445
2017-08-01,205698691.57274503
2017-09-01,205664195.30895698
2017-10-01,205699481.112385
2017-11-01,205698765.270231
2017-12-01,205786981.73792702
2018-01-01,206464766.156049
2018-02-01,206352066.138973
2018-03-01,206262553.552906
2018-04-01,206235179.106168
2018-05-01,206455894.343139
2018-06-01,206609688.91512
2018-07-01,206616413.35252398
2018-08-01,206670696.928752
2018-09-01,206622450.35800698
2018-10-01,206579418.20928502
2018-11-01,206523567.372348
2018-12-01,206684284.72823
2019-01-01,206455827.160613
2019-02-01,206418270.16551602
2019-03-01,206288689.259182
2019-04-01,206283862.302129
2019-05-01,206588497.013734
2019-06-01,206600575.47438598
2019-07-01,206348760.306166
2019-08-01,206305209.96291998
2019-09-01,206146164.32222298
2019-10-01,205963809.883504
2019-11-01,205869677.01031703
2019-12-01,205878251.440227
2020-01-01,205699486.35033202
2020-02-01,205561751.664157
2020-03-01,205533359.91948402
2020-04-01,206872732.06380802
2020-05-01,207301308.37236798
2020-06-01,205751326.372104
2020-07-01,205402138.744314
2020-08-01,205711506.775318
2020-09-01,206015221.228732
2020-10-01,205872523.02730298
2020-11-01,205951498.932392
2020-12-01,205814628.354243
2021-01-01,205543528.098396
2021-02-01,205479692.91769
2021-03-01,205285013.36741897
2021-04-01,205576958.82691202
2021-05-01,205885900.992685
2021-06-01,205461222.36373702
2021-07-01,205192670.159893
2021-08-01,205094525.17536202
2021-09-01,205054734.56974
2021-10-01,204843486.67187598
